Run Date,8/18/2015 09:03:15
EntryNumber,elapsedTime,lastMeasFlowRateInMl,numOfSubmergedPads,submergedPadsBitMask,secondsOfNoWater,unknowns,tempC,PC0,PC1,PC2,PC3,PC4,PC5,PMAX0,PMAX1,PMAX2,PMAX3,PMAX4,PMAX5,pad_min[0],pad_min[1],pad_min[2],pad_min[3],pad_min[4],pad_min[5],padMeasDelta[0],padMeasDelta[1],padMeasDelta[2],padMeasDelta[3],padMeasDelta[4],padMeasDelta[5],padMax1Array[0],padMax1Array[1],padMax1Array[2],padMax1Array[3],padMax1Array[4],padMax1Array[5],padMax2Array[0],padMax2Array[1],padMax2Array[2],padMax2Array[3],padMax2Array[4],padMax2Array[5],
53,80203,0,0,0,107,6,0,40231,42211,41362,42786,44337,48030,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,25,26,34,37,31,25,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
54,81218,0,0,0,108,6,0,40226,42212,41360,42788,44329,48020,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,30,25,36,35,39,35,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
55,82218,0,0,0,109,6,0,40224,42213,41358,42782,44333,48014,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,32,24,38,41,35,41,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
56,83218,0,0,0,110,6,0,40236,42197,41357,42792,44333,48019,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,20,40,39,31,35,36,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
57,84218,0,0,0,111,6,0,40223,42211,41365,42790,44339,48021,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,33,26,31,33,29,34,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
58,85218,0,0,0,112,6,0,40228,42201,41358,42779,44332,48015,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,28,36,38,44,36,40,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
59,86218,0,0,0,113,6,0,40218,42203,41366,42790,44335,48019,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,38,34,30,33,33,36,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
60,87218,0,0,0,114,6,0,40222,42207,41359,42789,44329,48017,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,34,30,37,34,39,38,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
61,153140,0,0,0,115,6,0,40220,42209,41364,42793,44329,48019,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,36,28,32,30,39,36,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
62,154234,0,0,0,116,6,0,40179,42160,41329,42775,44308,48004,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,77,77,67,48,60,51,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
63,155234,0,0,0,117,6,0,40171,42159,41337,42781,44301,48004,40256,42237,41396,42823,44368,48055,33163,41783,41171,42517,44187,47822,85,78,59,42,67,51,40256,42237,41396,42823,44368,48055,0,0,0,0,0,0,
